id,visit_id,visitor_id,domain,url,country,date,page_views,time on site
v47,visit_47,visitor_46,domain_2,url_44,c_05,2013-08-11 17:55:17,1,0
v49,visit_49,visitor_48,domain_2,url_118,c_20,2013-07-30 12:05:26,1,0
v53,visit_53,visitor_52,domain_2,url_90,c_17,2014-04-03 16:29:18,1,126
v57,visit_57,visitor_41,domain_1,url_2,c_19,2014-03-01 10:21:12,1,0
v58,visit_58,visitor_56,domain_2,url_116,c_08,2013-10-13 20:49:47,1,6
v59,visit_59,visitor_57,domain_2,url_24,c_18,2013-02-12 01:13:56,1,0
v60,visit_60,visitor_58,domain_2,url_17,c_14,2014-02-28 08:33:19,1,1354
v61,visit_61,visitor_59,domain_2,url_90,c_23,2013-10-02 16:22:08,1,0
v65,visit_65,visitor_63,domain_1,url_2,c_21,2013-03-09 22:53:30,1,0
v67,visit_67,visitor_65,domain_2,url_109,c_03,2013-09-02 11:12:45,1,1688
v68,visit_68,visitor_66,domain_2,url_86,c_03,2013-06-24 00:44:17,1,17
v70,visit_70,visitor_68,domain_2,url_105,c_18,2013-04-27 17:20:29,1,0
v73,visit_73,visitor_71,domain_2,url_108,c_17,2013-08-21 15:48:06,1,2
v74,visit_74,visitor_71,domain_2,url_27,c_17,2013-09-06 12:36:12,1,0
v75,visit_75,visitor_72,domain_2,url_47,c_04,2013-08-28 21:33:55,0,517
v76,visit_76,visitor_73,domain_2,url_88,c_14,2013-11-09 03:31:17,1,27
v77,visit_77,visitor_74,domain_2,url_77,c_07,2014-05-03 13:52:17,0,0
v80,visit_79,visitor_76,domain_2,url_46,c_08,2013-07-24 17:39:08,1,3
v81,visit_80,visitor_77,domain_2,url_57,c_25,2013-06-22 20:46:54,1,0
v83,visit_82,visitor_79,domain_2,url_109,c_26,2014-02-26 13:18:30,1,0
v84,visit_83,visitor_80,domain_2,url_45,c_01,2013-01-26 13:33:21,1,3
v85,visit_84,visitor_81,domain_2,url_125,c_05,2014-04-26 11:28:57,1,76
v88,visit_87,visitor_84,domain_2,url_57,c_06,2013-09-07 17:02:34,1,0
v89,visit_88,visitor_85,domain_2,url_32,c_05,2013-10-09 14:27:18,1,0
v92,visit_91,visitor_87,domain_2,url_86,c_03,2014-03-10 11:00:15,1,11
v93,visit_92,visitor_88,domain_2,url_39,c_13,2013-01-19 21:47:22,1,266
v95,visit_94,visitor_41,domain_1,url_10,c_19,2014-03-01 08:34:13,0,2
v99,visit_98,visitor_93,domain_2,url_117,c_11,2013-10-19 19:08:29,1,22
v100,visit_99,visitor_94,domain_2,url_101,c_05,2013-02-01 08:07:26,1,8
v101,visit_100,visitor_95,domain_1,url_3,c_21,2013-02-22 17:29:02,1,16
v103,visit_102,visitor_97,domain_2,url_62,c_17,2013-03-06 17:43:02,1,0
v105,visit_104,visitor_99,domain_2,url_36,c_05,2013-07-23 21:54:16,1,0
v109,visit_108,visitor_103,domain_2,url_133,c_11,2013-09-10 22:51:30,1,0
v110,visit_109,visitor_104,domain_2,url_84,c_21,2013-10-10 15:11:56,1,10
v111,visit_110,visitor_105,domain_2,url_106,c_12,2013-11-12 16:45:52,1,1
v112,visit_111,visitor_106,domain_2,url_107,c_03,2013-02-12 12:57:02,1,0
v114,visit_113,visitor_108,domain_1,url_9,c_21,2014-03-08 11:39:13,1,31
v115,visit_114,visitor_109,domain_2,url_51,c_12,2014-01-18 21:05:27,1,0
v120,visit_119,visitor_113,domain_2,url_108,c_17,2013-07-05 20:06:50,1,0
v121,visit_120,visitor_114,domain_2,url_28,c_01,2014-04-18 08:25:08,1,0
v122,visit_121,visitor_115,domain_2,url_94,c_11,2014-04-20 15:30:15,1,98
v126,visit_124,visitor_118,domain_2,url_49,c_02,2013-02-08 09:15:02,1,0
v127,visit_125,visitor_119,domain_2,url_109,c_03,2013-05-24 06:14:22,1,47
v130,visit_128,visitor_113,domain_2,url_47,c_17,2013-07-05 19:03:04,1,24
v135,visit_133,visitor_126,domain_2,url_90,c_17,2013-02-13 16:45:31,1,70
v137,visit_135,visitor_127,domain_2,url_19,c_08,2013-03-03 01:07:10,1,0
v138,visit_136,visitor_128,domain_2,url_41,c_23,2013-11-21 03:13:38,1,31
v139,visit_137,visitor_129,domain_1,url_7,c_14,2014-02-28 11:05:56,0,3
v141,visit_139,visitor_131,domain_2,url_97,c_28,2013-01-26 13:40:40,1,88
v142,visit_140,visitor_132,domain_2,url_109,c_03,2013-04-15 11:58:27,1,0
v144,visit_142,visitor_134,domain_2,url_90,c_17,2013-09-27 18:52:15,1,8
v146,visit_144,visitor_136,domain_2,url_106,c_12,2013-08-15 16:29:54,1,1
v147,visit_145,visitor_137,domain_2,url_117,c_11,2014-05-26 21:36:24,1,0
v151,visit_149,visitor_141,domain_1,url_8,c_21,2013-10-02 17:44:16,0,1
v153,visit_151,visitor_41,domain_1,url_7,c_19,2014-03-01 09:09:33,1,1163
v155,visit_152,visitor_143,domain_2,url_58,c_17,2013-12-29 07:41:44,1,0
v156,visit_153,visitor_144,domain_2,url_89,c_22,2013-03-08 21:56:34,1,0
v157,visit_43,visitor_42,domain_2,url_89,c_11,2014-05-08 17:48:11,1,5
v158,visit_154,visitor_145,domain_2,url_111,c_08,2013-04-04 15:41:26,1,0
v160,visit_156,visitor_146,domain_2,url_25,c_05,2013-05-14 14:13:24,1,63
v161,visit_157,visitor_147,domain_2,url_133,c_22,2013-06-12 14:57:34,1,0
v164,visit_159,visitor_42,domain_2,url_22,c_11,2014-05-08 14:07:35,1,4
v167,visit_162,visitor_151,domain_2,url_77,c_14,2014-01-22 12:01:11,1,1
v172,visit_167,visitor_155,domain_2,url_112,c_11,2013-12-14 07:55:37,1,5
v174,visit_169,visitor_157,domain_2,url_57,c_14,2013-05-03 17:13:23,1,526
v177,visit_172,visitor_160,domain_2,url_142,c_08,2014-04-02 00:26:12,1,0
v178,visit_173,visitor_161,domain_2,url_106,c_12,2013-11-13 18:20:28,1,0
v179,visit_139,visitor_131,domain_2,url_65,c_28,2013-01-26 13:42:08,1,0
v180,visit_128,visitor_113,domain_2,url_47,c_17,2013-07-05 19:03:33,1,6
v181,visit_174,visitor_162,domain_2,url_128,c_02,2013-03-15 19:29:50,1,0
v182,visit_175,visitor_163,domain_2,url_68,c_05,2013-12-05 21:49:49,1,0
v183,visit_176,visitor_164,domain_2,url_128,c_11,2014-02-09 06:58:31,1,0
v185,visit_178,visitor_166,domain_2,url_136,c_14,2014-04-18 11:01:48,1,1496
v188,visit_181,visitor_169,domain_2,url_136,c_29,2013-12-09 10:34:53,1,0
v190,visit_183,visitor_171,domain_2,url_115,c_13,2013-01-09 12:57:49,0,0
v191,visit_184,visitor_172,domain_2,url_109,c_03,2013-12-26 02:16:30,1,76
v193,visit_186,visitor_174,domain_2,url_44,c_14,2013-06-12 03:21:50,1,22
v196,visit_189,visitor_177,domain_2,url_88,c_05,2013-10-02 10:46:47,1,17
v197,visit_190,visitor_178,domain_2,url_106,c_12,2013-11-07 00:07:15,1,20
v200,visit_193,visitor_181,domain_2,url_18,c_02,2014-03-28 20:06:10,1,0
v203,visit_196,visitor_184,domain_1,url_3,c_27,2013-08-03 12:50:38,1,0
v204,visit_197,visitor_185,domain_2,url_107,c_26,2014-03-31 21:47:00,1,0
v209,visit_202,visitor_190,domain_2,url_83,c_01,2014-02-13 20:07:03,1,0
v210,visit_203,visitor_191,domain_2,url_98,c_23,2014-02-07 08:01:58,1,0
v211,visit_204,visitor_192,domain_2,url_83,c_02,2013-09-14 14:15:00,1,0
v217,visit_210,visitor_198,domain_2,url_106,c_12,2013-08-13 13:09:44,1,7
v220,visit_213,visitor_71,domain_2,url_127,c_17,2013-09-06 10:33:51,1,16
v221,visit_214,visitor_201,domain_2,url_105,c_02,2014-05-08 17:09:13,1,0
v223,visit_216,visitor_203,domain_2,url_77,c_14,2014-05-26 10:14:44,1,52
v224,visit_217,visitor_41,domain_1,url_8,c_19,2014-03-01 05:01:50,1,588
v225,visit_218,visitor_204,domain_2,url_25,c_05,2013-10-20 22:16:55,1,0
v226,visit_219,visitor_205,domain_2,url_141,c_01,2014-01-17 05:58:38,1,0
v228,visit_221,visitor_207,domain_2,url_81,c_05,2013-08-29 14:41:14,1,2
v229,visit_43,visitor_42,domain_2,url_89,c_11,2014-05-08 17:48:30,1,2
v231,visit_222,visitor_208,domain_1,url_8,c_07,2013-07-04 10:28:52,1,0
v232,visit_223,visitor_71,domain_2,url_108,c_17,2013-10-23 12:44:58,0,0
v233,visit_159,visitor_42,domain_2,url_112,c_11,2014-05-08 14:07:58,1,5
v235,visit_225,visitor_210,domain_2,url_74,c_06,2014-03-13 20:52:05,1,45
v236,visit_128,visitor_113,domain_2,url_47,c_17,2013-07-05 19:03:39,0,12
v237,visit_226,visitor_211,domain_2,url_57,c_07,2013-09-19 18:11:17,1,0
v238,visit_121,visitor_115,domain_2,url_117,c_11,2014-04-20 15:24:03,1,32
v240,visit_228,visitor_213,domain_1,url_5,c_21,2013-05-21 16:41:40,1,0
v242,visit_230,visitor_79,domain_2,url_109,c_03,2014-02-25 13:05:36,1,70
v243,visit_231,visitor_215,domain_2,url_65,c_11,2013-03-02 19:09:16,1,64
v244,visit_232,visitor_216,domain_2,url_31,c_17,2013-07-05 22:13:53,1,9
v247,visit_235,visitor_219,domain_2,url_126,c_20,2014-05-28 13:50:05,1,0
v248,visit_236,visitor_220,domain_2,url_58,c_17,2013-12-13 01:11:45,1,37
v252,visit_240,visitor_224,domain_2,url_142,c_14,2014-02-03 08:17:55,1,0
v253,visit_241,visitor_225,domain_2,url_44,c_27,2013-02-09 17:58:41,1,0
v255,visit_243,visitor_227,domain_2,url_67,c_11,2013-10-20 11:58:51,1,0
v256,visit_244,visitor_228,domain_2,url_142,c_14,2013-12-01 20:33:09,1,0
v257,visit_245,visitor_229,domain_2,url_18,c_02,2014-04-07 11:54:56,1,0
v259,visit_247,visitor_231,domain_2,url_23,c_26,2014-01-18 01:02:50,1,0
v260,visit_248,visitor_232,domain_2,url_56,c_07,2013-12-05 12:15:49,1,2
v264,visit_252,visitor_236,domain_2,url_78,c_11,2014-02-20 22:43:42,1,43
v265,visit_253,visitor_237,domain_2,url_66,c_27,2013-05-15 22:12:04,1,0
v269,visit_256,visitor_240,domain_2,url_47,c_17,2013-07-05 18:35:28,1,0
v271,visit_258,visitor_241,domain_2,url_89,c_11,2013-09-12 14:12:25,1,32
v275,visit_169,visitor_157,domain_2,url_57,c_14,2013-05-03 17:23:37,1,0
v276,visit_262,visitor_245,domain_2,url_18,c_02,2014-01-27 22:19:57,1,0
v280,visit_266,visitor_249,domain_2,url_91,c_02,2013-01-30 12:50:01,1,0
v281,visit_267,visitor_250,domain_2,url_118,c_01,2014-02-16 09:22:13,1,0
v287,visit_270,visitor_253,domain_2,url_29,c_11,2013-04-20 08:27:36,1,0
v288,visit_271,visitor_254,domain_2,url_74,c_05,2013-08-22 07:21:07,1,0
v289,visit_272,visitor_255,domain_2,url_121,c_08,2013-09-17 17:22:22,1,0
v291,visit_274,visitor_257,domain_2,url_18,c_20,2014-05-02 20:41:11,1,0
v292,visit_275,visitor_258,domain_2,url_47,c_06,2014-01-15 18:38:43,0,0
v294,visit_277,visitor_253,domain_2,url_117,c_11,2013-04-20 11:15:27,1,16
v295,visit_277,visitor_253,domain_2,url_78,c_11,2013-04-20 11:59:13,1,59
v297,visit_279,visitor_260,domain_2,url_78,c_32,2013-07-05 11:34:09,1,6
v298,visit_280,visitor_261,domain_2,url_98,c_17,2013-12-29 17:50:10,1,1
v299,visit_281,visitor_261,domain_2,url_37,c_17,2013-12-29 18:24:25,1,0
v300,visit_282,visitor_262,domain_2,url_129,c_08,2013-09-11 10:56:10,1,41
v302,visit_284,visitor_264,domain_1,url_9,c_21,2013-11-13 18:10:52,0,4
v303,visit_284,visitor_264,domain_1,url_9,c_21,2013-11-13 18:11:13,0,4
v304,visit_285,visitor_264,domain_1,url_10,c_21,2013-11-13 19:32:38,0,3
v305,visit_285,visitor_264,domain_1,url_5,c_21,2013-11-13 19:41:18,0,3
v308,visit_288,visitor_267,domain_2,url_36,c_05,2013-11-10 17:35:12,1,0
v309,visit_289,visitor_268,domain_2,url_82,c_03,2013-07-10 11:30:59,1,0
v310,visit_290,visitor_269,domain_2,url_48,c_17,2013-04-07 22:43:40,1,0
v317,visit_297,visitor_276,domain_2,url_52,c_05,2014-02-26 07:47:02,1,0
v322,visit_301,visitor_278,domain_2,url_42,c_03,2013-12-16 07:23:49,1,23
v326,visit_305,visitor_282,domain_2,url_31,c_17,2014-03-30 16:12:20,1,0
v327,visit_306,visitor_283,domain_2,url_119,c_05,2013-11-13 15:15:37,1,8
v328,visit_306,visitor_283,domain_2,url_81,c_05,2013-11-13 15:39:43,1,33
v329,visit_307,visitor_284,domain_2,url_116,c_28,2013-01-19 20:09:26,1,0
v330,visit_308,visitor_285,domain_2,url_92,c_17,2013-11-28 16:20:20,1,6
v332,visit_310,visitor_287,domain_2,url_82,c_26,2013-04-13 01:37:47,0,0
v336,visit_314,visitor_291,domain_2,url_85,c_08,2014-05-05 09:26:41,1,0
v338,visit_316,visitor_293,domain_2,url_106,c_12,2013-08-14 20:10:40,1,63
v339,visit_121,visitor_115,domain_2,url_123,c_11,2014-04-20 15:29:51,1,8
v340,visit_43,visitor_42,domain_2,url_133,c_11,2014-05-08 17:44:03,1,38
v341,visit_317,visitor_294,domain_2,url_81,c_27,2013-12-17 01:19:35,1,21
v343,visit_319,visitor_296,domain_2,url_101,c_05,2013-06-20 09:02:35,1,0
v344,visit_320,visitor_297,domain_2,url_108,c_23,2014-02-18 15:18:25,1,10
v345,visit_321,visitor_298,domain_2,url_119,c_05,2013-10-03 16:58:58,1,58
v348,visit_324,visitor_301,domain_2,url_136,c_15,2013-12-17 13:21:40,1,66
v349,visit_266,visitor_249,domain_2,url_91,c_02,2013-01-30 12:50:01,1,0
v350,visit_325,visitor_302,domain_2,url_140,c_08,2013-11-01 12:53:57,1,0
v352,visit_277,visitor_253,domain_2,url_117,c_11,2013-04-20 11:18:06,1,14
v354,visit_327,visitor_304,domain_2,url_56,c_11,2013-10-02 20:45:02,1,81
v355,visit_277,visitor_253,domain_2,url_89,c_11,2013-04-20 11:06:48,1,32
v356,visit_328,visitor_305,domain_2,url_31,c_17,2014-01-25 13:24:49,1,64
v357,visit_285,visitor_264,domain_1,url_7,c_21,2013-11-13 19:33:27,1,162
v358,visit_329,visitor_306,domain_2,url_81,c_05,2014-01-07 09:03:26,1,0
v360,visit_331,visitor_308,domain_2,url_59,c_03,2014-01-17 07:13:43,1,0
v365,visit_335,visitor_312,domain_2,url_105,c_08,2014-01-17 10:38:29,1,0
v366,visit_270,visitor_253,domain_2,url_29,c_11,2013-04-20 08:27:30,1,6
v367,visit_336,visitor_313,domain_2,url_35,c_12,2013-08-16 08:44:36,1,16
v368,visit_336,visitor_313,domain_2,url_35,c_12,2013-08-16 08:44:56,1,7
v369,visit_337,visitor_314,domain_2,url_114,c_01,2014-05-25 22:06:37,1,0
v370,visit_338,visitor_315,domain_2,url_31,c_06,2014-04-08 15:35:27,1,0
v373,visit_341,visitor_318,domain_2,url_40,c_17,2013-05-03 10:28:35,1,50
v374,visit_342,visitor_319,domain_2,url_116,c_02,2013-09-28 14:06:02,1,0
v377,visit_345,visitor_322,domain_2,url_108,c_17,2013-09-08 22:52:50,1,0
v378,visit_346,visitor_323,domain_2,url_18,c_20,2013-11-12 01:37:18,1,0
v380,visit_348,visitor_325,domain_2,url_108,c_17,2013-09-14 23:04:43,1,0
v381,visit_349,visitor_326,domain_2,url_133,c_11,2013-09-22 10:25:41,1,29
v382,visit_349,visitor_326,domain_2,url_133,c_11,2013-09-22 10:26:10,1,0
v383,visit_350,visitor_327,domain_2,url_77,c_15,2014-05-03 05:10:02,1,24
v384,visit_351,visitor_328,domain_2,url_51,c_13,2014-02-20 08:29:52,1,0
v387,visit_354,visitor_331,domain_2,url_85,c_28,2013-01-23 05:59:37,1,13
v388,visit_355,visitor_332,domain_2,url_57,c_11,2013-04-10 10:53:56,1,1
v389,visit_356,visitor_333,domain_2,url_120,c_03,2014-05-12 09:35:28,1,0
v393,visit_360,visitor_337,domain_2,url_65,c_07,2013-09-19 20:36:04,1,5
v395,visit_361,visitor_338,domain_2,url_118,c_02,2014-01-20 22:07:32,1,0
v400,visit_365,visitor_342,domain_2,url_89,c_09,2014-03-26 10:53:02,1,0
v402,visit_367,visitor_344,domain_2,url_111,c_08,2013-07-25 16:20:48,1,0
v405,visit_370,visitor_346,domain_2,url_116,c_20,2013-12-20 03:11:19,1,0
v406,visit_371,visitor_347,domain_2,url_52,c_06,2013-06-14 13:13:17,1,0
v407,visit_372,visitor_348,domain_2,url_88,c_21,2014-05-16 10:55:00,1,3
v409,visit_374,visitor_350,domain_2,url_48,c_17,2013-02-08 11:21:49,1,0
v410,visit_375,visitor_350,domain_2,url_41,c_17,2013-02-08 21:30:33,1,15
v411,visit_376,visitor_351,domain_2,url_117,c_32,2013-07-21 14:17:16,1,32
v416,visit_381,visitor_356,domain_2,url_56,c_14,2013-10-10 19:25:08,1,60
v418,visit_355,visitor_332,domain_2,url_57,c_11,2013-04-10 10:53:55,1,1
v419,visit_383,visitor_358,domain_1,url_8,c_29,2013-08-01 11:51:32,1,2
v421,visit_385,visitor_360,domain_2,url_18,c_02,2014-05-29 20:08:39,1,0
v423,visit_387,visitor_362,domain_2,url_94,c_11,2013-09-18 20:59:53,1,0
v424,visit_388,visitor_363,domain_2,url_37,c_17,2014-02-05 15:50:32,1,21
v428,visit_392,visitor_367,domain_2,url_40,c_17,2013-12-14 16:54:38,1,0
v429,visit_393,visitor_368,domain_2,url_90,c_17,2013-04-19 19:15:07,1,0
v430,visit_394,visitor_369,domain_2,url_109,c_03,2013-05-19 02:05:32,1,108
v431,visit_395,visitor_370,domain_2,url_135,c_07,2013-06-26 23:58:39,1,43
v433,visit_397,visitor_372,domain_2,url_12,c_02,2013-05-28 17:57:02,1,0
v441,visit_405,visitor_380,domain_1,url_10,c_21,2013-05-28 19:09:14,1,0
v449,visit_413,visitor_388,domain_2,url_122,c_03,2014-04-14 10:00:27,1,0
v450,visit_414,visitor_389,domain_2,url_29,c_11,2013-07-06 08:00:26,1,0
v452,visit_416,visitor_391,domain_2,url_38,c_01,2013-02-10 13:16:39,1,0
v454,visit_418,visitor_393,domain_2,url_16,c_18,2013-09-20 22:38:32,1,65
v455,visit_419,visitor_394,domain_2,url_120,c_16,2014-04-17 06:05:15,1,7
v456,visit_420,visitor_395,domain_2,url_118,c_01,2013-03-08 16:16:01,1,130
v457,visit_421,visitor_396,domain_2,url_109,c_03,2013-10-24 03:44:35,1,0
v458,visit_422,visitor_397,domain_2,url_91,c_01,2013-01-19 21:49:53,0,0
v460,visit_424,visitor_399,domain_2,url_93,c_11,2014-01-18 14:53:02,1,0
v463,visit_427,visitor_402,domain_2,url_96,c_05,2013-02-23 06:47:49,1,0
v466,visit_429,visitor_403,domain_2,url_67,c_02,2013-12-08 21:47:18,1,0
v467,visit_430,visitor_404,domain_2,url_36,c_05,2014-01-02 22:06:16,1,110
v468,visit_430,visitor_404,domain_2,url_61,c_05,2014-01-02 22:10:19,1,0
v471,visit_433,visitor_407,domain_2,url_52,c_05,2013-12-07 18:02:06,1,0
v472,visit_375,visitor_350,domain_2,url_92,c_17,2013-02-08 22:15:42,1,16
v473,visit_434,visitor_408,domain_2,url_97,c_30,2013-03-14 03:52:58,1,5
v474,visit_435,visitor_409,domain_2,url_62,c_17,2013-11-04 02:43:38,1,26
v475,visit_436,visitor_410,domain_2,url_126,c_02,2014-02-13 14:41:46,1,0
v481,visit_442,visitor_416,domain_2,url_63,c_12,2013-01-31 10:45:06,1,0
v482,visit_443,visitor_416,domain_2,url_63,c_12,2013-02-28 22:32:50,1,1242
v484,visit_445,visitor_418,domain_1,url_8,c_27,2013-06-26 12:17:24,0,1
v488,visit_448,visitor_421,domain_2,url_107,c_26,2013-11-09 22:24:06,1,13
v494,visit_454,visitor_427,domain_2,url_68,c_02,2014-03-07 09:03:49,1,0
v496,visit_456,visitor_429,domain_2,url_117,c_11,2014-01-08 13:04:05,1,118
v499,visit_459,visitor_432,domain_2,url_114,c_01,2013-02-03 11:53:42,1,0
v508,visit_466,visitor_439,domain_2,url_109,c_03,2014-05-13 10:06:34,1,13
v509,visit_467,visitor_440,domain_2,url_106,c_12,2013-08-27 08:50:34,1,0
v513,visit_471,visitor_444,domain_2,url_129,c_08,2013-04-25 13:36:39,1,0
v516,visit_474,visitor_447,domain_2,url_56,c_06,2014-01-10 21:23:25,1,23
v521,visit_479,visitor_452,domain_2,url_18,c_02,2014-01-18 21:56:45,1,160
v523,visit_481,visitor_454,domain_2,url_106,c_12,2013-08-25 19:09:34,1,0
v524,visit_482,visitor_455,domain_2,url_81,c_05,2014-03-11 11:40:36,1,0
v525,visit_483,visitor_456,domain_2,url_105,c_30,2014-01-02 15:23:48,1,0
v527,visit_485,visitor_458,domain_2,url_101,c_06,2013-06-19 16:27:08,1,0
v529,visit_487,visitor_460,domain_2,url_85,c_08,2014-04-04 12:22:09,1,0
v533,visit_491,visitor_464,domain_1,url_8,c_21,2013-09-04 04:57:50,1,13
v538,visit_496,visitor_469,domain_2,url_127,c_17,2013-11-09 11:48:28,1,16
v540,visit_498,visitor_471,domain_2,url_12,c_20,2013-01-01 21:06:48,1,0
v541,visit_499,visitor_472,domain_2,url_47,c_17,2013-11-24 16:26:20,1,32
v549,visit_491,visitor_464,domain_1,url_6,c_21,2013-09-04 04:58:15,0,47
v550,visit_507,visitor_480,domain_2,url_140,c_08,2014-04-30 11:31:16,1,0
v551,visit_508,visitor_481,domain_2,url_28,c_01,2013-12-06 23:30:36,1,0
v557,visit_510,visitor_483,domain_2,url_44,c_14,2013-09-25 19:44:27,1,0
v559,visit_512,visitor_485,domain_1,url_7,c_11,2013-12-15 09:26:10,1,3
v563,visit_516,visitor_489,domain_2,url_75,c_11,2013-11-20 00:05:36,1,0
v564,visit_517,visitor_490,domain_2,url_17,c_14,2013-11-20 07:01:43,1,0
v566,visit_519,visitor_492,domain_2,url_140,c_08,2014-04-04 20:29:19,0,0
v568,visit_521,visitor_494,domain_2,url_126,c_02,2014-03-04 15:02:39,1,0
v571,visit_524,visitor_497,domain_2,url_27,c_06,2013-10-01 14:47:59,1,0
v573,visit_526,visitor_499,domain_2,url_12,c_20,2013-10-01 15:49:02,1,0
v574,visit_527,visitor_500,domain_2,url_16,c_14,2013-09-20 09:48:42,1,0
v575,visit_528,visitor_501,domain_2,url_120,c_03,2014-03-06 14:03:49,1,4
v576,visit_529,visitor_502,domain_2,url_44,c_14,2013-09-25 09:56:14,1,0
v578,visit_531,visitor_350,domain_2,url_132,c_17,2013-02-09 12:05:11,1,72
v583,visit_536,visitor_508,domain_2,url_67,c_12,2014-05-23 11:02:38,1,0
v585,visit_538,visitor_472,domain_2,url_47,c_17,2013-09-21 15:55:35,1,0
v586,visit_499,visitor_472,domain_2,url_58,c_17,2013-11-24 16:26:01,1,4
v589,visit_541,visitor_512,domain_2,url_35,c_12,2013-11-15 16:25:03,1,0
v591,visit_542,visitor_513,domain_2,url_52,c_05,2014-03-26 03:25:04,1,180
v593,visit_544,visitor_515,domain_2,url_105,c_08,2014-01-10 20:58:37,1,0
v595,visit_546,visitor_517,domain_2,url_23,c_03,2013-12-20 16:41:18,1,0
v597,visit_548,visitor_519,domain_2,url_56,c_15,2013-11-13 17:21:58,1,6
v598,visit_549,visitor_520,domain_2,url_40,c_17,2013-12-27 14:09:46,1,0
v599,visit_550,visitor_521,domain_2,url_109,c_03,2013-06-02 02:44:50,1,0
v600,visit_551,visitor_522,domain_2,url_102,c_05,2013-11-08 07:47:35,1,37
v602,visit_553,visitor_523,domain_2,url_27,c_17,2013-11-17 18:32:15,1,10
v604,visit_555,visitor_525,domain_2,url_17,c_11,2014-05-13 21:53:07,1,388
v605,visit_556,visitor_526,domain_2,url_68,c_16,2014-03-08 03:54:21,1,41
v608,visit_559,visitor_529,domain_2,url_78,c_11,2013-01-26 19:05:50,1,0
v609,visit_560,visitor_530,domain_2,url_61,c_06,2013-12-31 23:14:18,1,146
v613,visit_564,visitor_534,domain_2,url_135,c_11,2013-05-29 19:41:16,1,64
v614,visit_565,visitor_535,domain_2,url_120,c_26,2013-12-26 12:34:07,1,0
v617,visit_568,visitor_538,domain_1,url_4,c_34,2013-09-02 21:27:13,1,100
v618,visit_569,visitor_539,domain_2,url_93,c_11,2013-05-30 12:28:16,1,0
v620,visit_571,visitor_541,domain_1,url_3,c_21,2013-07-22 20:07:05,1,9
v622,visit_528,visitor_501,domain_2,url_86,c_03,2014-03-06 14:03:17,1,8
v623,visit_573,visitor_543,domain_2,url_57,c_08,2013-05-17 05:19:32,1,0
v624,visit_574,visitor_544,domain_2,url_142,c_14,2013-11-10 02:04:49,1,29
v625,visit_512,visitor_485,domain_1,url_7,c_11,2013-12-15 09:26:13,0,1
v633,visit_581,visitor_551,domain_2,url_57,c_11,2013-04-10 10:53:52,1,1
v634,visit_581,visitor_551,domain_2,url_57,c_11,2013-04-10 10:53:59,1,1
v636,visit_583,visitor_553,domain_2,url_141,c_01,2013-02-08 13:32:39,1,0
v637,visit_581,visitor_551,domain_2,url_57,c_11,2013-04-10 10:54:07,1,0
v642,visit_587,visitor_557,domain_2,url_112,c_11,2013-07-22 19:20:41,1,15
v643,visit_588,visitor_558,domain_2,url_47,c_23,2013-09-01 04:14:57,1,0
